,ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms,Unnamed: 19
0,f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,Treehouses,Red Kite Tree Tent - Ynys Affalon,"""Escape to one of these two fabulous Tree Tents. Suspended high above the canopyit’s time to appreciate life from a new perspective. Featured on George Clarke’s Amazing Spacesthese Tree Tents are a feat of aviation technology. Tree Tent comes complete with fire pitoutdoor kitchen and shower with hot water. You’ll discover a comfortable bed and cosy wood burning stove. Part of the Red Kite Estatealong with our barn and its sister tree tentthe first ever built in the UKDragons Egg.""The spaceThe space.The true joy of this place is how wonderfully simple it is (aviation technology aside). Days are filled with fireside discussionswildlife watching and stunningly beautiful walks. With the nearest mobile signal a ten minute walk awayit’s a great place to ditch the digital and truly escape. Head over the bridge to your own private deck that happily houses a clever outdoor-kitchen and shower (complete with hot water). It’s the perfect spot to fry up breakfast whilst basking in peace and tranquility. There is also a flushing toilet situated just up the hill.And don’t worryyou’re not totally left to your own deviceson arrival you can expect bed linentowels and a load of dry wood and kindling. If you feel the need to leave your new found homestead in the trees then the local area has lots of suitably chilled things to do. Head out on a moorland walk to take in some magical views - and perhaps even grab a pint at the local pub en route. Further afieldthe stunning Elan Valleya landscape bursting with impressive dams and reservoirsis well worthy of an explore. And for those needing supplies - and perhaps a flat white - then the friendly market town of Builth Wells is just down the road.Other things to note.You are entering a remote woodland hideaway for a digital detox: there is very patchy mobile signal and limited internet connectivity.","['What this place offers', 'Bathroom', 'Shampoo', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer']",Llandrindod Wells United Kingdom,2,1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13.0,https://www.airbnb.co.uk/rooms/26620994?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-19&check_out=2022-03-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
1,1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,Treehouses,Az Alom Cabin - Treehouse Tree to Nature Cabin,"""Come and spend a romantic stay with a couple or familyon the Domaine de l'Arbre in CabaneA very pretty forest of 5 hectares shelters 8 beautiful huts they all have the dream namesunique and unprecedented.They are housed in centuries-old trees out of sightin osmosis with nature.The site is preservedyour peace is assured. Nature is everywhereA treehouse to indulgerelax and go where no one will be looking for you!""The spaceThe space.Cabin perched in trees 8 meters high.This cabin is beautiful. Its access via a board walkway and its platform adjoining 3 individual beds seduce them to the highest degree. It has a capacity of 3 people.Guest access.You will have access to the entire cabinforest and park.Sanitary facilities (showers and toilets) are at the receptiona 3-minute walk.Other things to note.Are you ready for an unusual stay?","['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Guyonvelle Grand Est France,3,3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8.0,https://www.airbnb.co.uk/rooms/27055498?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-19&check_out=2022-06-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
2,d577bc30-2222-4bef-a35e-a9825642aec4,Treehouses,"Cabane Entre Les Pins
🌲🏕️🌲","Rustic cabin between the pines3 meters high and 28 square meters on the banks of the Austreberth River 🌲🏕️🌲The space""The space.Our cabin between the pines is a great alternative for those looking for contact with nature and want to restenjoy together or have fun with family or friends. With 3 meters high and 28 square metersit accommodates 4 people. Located on a 1.2 hectare property by the river Austrebertheour rustic treehouse shares the space with our garden rabbits and dumplingsas well as wild dumplings and our beloved khenty marewho loves apples and carrots. A tranquil retreatwith efficient thermal insulation and heaters for the colder days. Equipped with a double bedsofa bedkitchen duvet and toilet.We provide:.Towels.Bed linens and pillows.Kitchen detergent and bathroom soap.Paper towels & toilet paper.Cooking utensils.Coffeeteasalt and pepperherbs of provence.What to do in the areas guideIll follow us on Instagram @entreespins""Guest access.Guests can use the space around the cabin.""Other things to note.*When its windythe cabin squeaksbut theres nothing to worry about.*Do not use candles or objects containing a fire inside and outside the cabin as the polyester is flammable.*Smoking outside only please.*Our dear pets are allowed but with the commitment of their guardian not to leave them on the bed and furnishing fabricsas well as being responsible for their waste.*Pine needles often fall on the balconywhich doesnt mean the space hasnt been cleaned.*As this is literally a house between the treesit is common that there are insects and cobwebs outside but with the door closed it will prevent them from entering the cabin.*With the arrival of the cold seasonwe see that the internal temperature is between 15 and 18 degrees.*Check-out time must be respected so as not to change the arrival time of the next guest.""","['What this place offers', 'Scenic views', 'Garden view', 'River view', 'Bathroom', 'Cleaning products', 'Cien body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe and chest of drawers', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Children’s tableware', 'Table corner guards', 'Heating and cooling', 'Portable heater', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Stainless steel cooker', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Baking sheet', 'Rice cooker', 'Waste compactor', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Free resort access', 'Guests can use nearby resort facilities', 'Outdoor', 'Private patio or balcony', 'Private backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill: electric', 'Kayak', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Smoking allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Duclair Normandie France,4,2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51.0,https://www.airbnb.co.uk/rooms/51427108?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
3,ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,Treehouses,Tree Top Cabin with log burner & private hot tub,"The Tree top cabin is situated in our peaceful woodland in the heart of Snowdonia. It has a shower (hot water included)and w.c and washbasin (no hot water in the washbasin).Lighting is provided from a 12v solar panel system.A log burner is provided with free wood.There is a double bed.The private wood fired hot tub is situated on a balcony overlooking the woodland area.Pet friendly.Outside seating is provided.The spaceThe space.This unique glamping experience has everything you need for a restful and idyllic break from everyday life. Wake up to bird song and the sound of the stream. Enjoy your own exclusive hot tub whilst sipping a glass of bubbly. Our Cabin is fully insulated and has everything you need for that perfect ""rustic"" getaway without compromising on quality and convenience.ALL bedding and towels are included in your stay. You may like to bring extra towels for hot tub usage.A small log burner inside to keep you nice and cosy.There is limited telephone signal.","['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Barmouth Wales United Kingdom,2,1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23.0,https://www.airbnb.co.uk/rooms/49543851?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-20&check_out=2022-05-27&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
5,cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,Treehouses,Treehouse near Paris Disney,"Charming cabin nestled in the leavesreal unusual and cozy house in the trees with all the modern comfortsjust 45 minutes from Paris28 km from Disneyland or Provins and 5 minutes from the Parc des Félins. This cozy nest awaits you year-round for an unusual romantic or family experience. A parenthesis of relaxation and relaxationideal to offer yourself or yourself. See you soon :)The space""The space.La Cabane Perchée de Chambonnière awaits you over the seasons and offers a comfortable and cozy setting amidst the treesthe opportunity to escape from everyday life during a romantic stay with two or familyfor one or more nights.You will be seduced by this treehouse full of charm with neat decoration.- Access by gentle slopeideal for welcoming you easily.- Charming living room with bioethanol fireplace (only in cold weather and exclusively for couples or families with children over 7 years old).- Fully equipped kitchen.- Double bedroom + 1 bedroom with 2 single beds upstairs.- Shower room with shower and real toilet.- Magnificent private terrace of 36m² with garden furniture and deckchair.This cozy nest in the trees offers all the modern comforts (electricityheatingbathroom with toilet and standard showerflat screen TVand a kitchenette with multifunction ovenrefrigeratorhobwifi internet access..). For your arrivalall beds are made.The shack perched in chambonnière is ideally located to allow you to discover the charms of the Seine and Marne and the Champagne region:.> the Parc des Félins,.> the medieval city of Provins with magnificent equestrian and falconry shows in season,.> Disneyland Paris & La Vallée Village 25mn,.> the castles of Vaux le VicomteBlandy les Tours and Fontainebleau.> and for the most sporty (depending on the season):.- tree climbing,.- paintball,.- karting and other motor sports.> Youll also have a chance to go for nice walks around on foot or by mountain bike and tennis in the village.A parenthesis of relaxation and relaxationideal to offer yourself or yourself .Looking forward to welcoming you….The rates shown in the calendar are for 2 people. Rates for 4 people are calculated automatically when bookingA surcharge may be charged if the general condition rendered is indecent.""""Other things to note.The owners reserve the right to cancel your stay at the hut if the weather conditions are very badwhether they are known a few days beforeor even on the day of arrivalwhether you are already on the road or already arrived on siteor during your stay (weather alertsevere weather eventsstrong windstormthunderstorm). If this happenswell try to relocate you to other types of accommodation nearbysubject to availability and at no extra charge. If we do not have a relocation solution availableand in this case onlyyou will be offered a date extension at the choice of the owners or you will receive a 50% discount on a next equivalent stay in a cabin in the current 12 months. In any caseno compensation or reimbursement can be claimed.""","['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Entertainment', 'TV', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Fireplace guards', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Baking sheet', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Le Plessis-Feu-Aussoux Île-de-France France,4,3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32.0,https://www.airbnb.co.uk/rooms/935398?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2,
6,93b1bfb4-67e7-4d70-9d84-b5e24f820d8c,Treehouses,Lake huts - treehouses,,"['What this place offers', 'Bathroom', 'Hair dryer', 'Heating and cooling', 'Portable heater', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Giffaumont-Champaubert France,3,2.0,1.0,101,4.7,4.7,4.8,4.8,4.7,4.3,6.0,https://www.airbnb.co.uk/rooms/24408892?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-02&check_out=2022-04-09&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
7,9033002f-5ff2-45df-af91-ef1594ac353f,Treehouses,luxourious Treehouse/lodge,"our tree house / lodge is an ideal base for visits to the EftelingBeekse BergenTilburgBreda and much more ..the lodge is equipped with a rain showerseparate toiletkitchenettefridgedining area and sitting area and 3 beds on the loft. next to it is the corresponding tree house with 3 beds.The spaceThe space.in the tree house you imagine yourself in the top of the trees in the wonderful nature.the beds have 7-zone pocket spring mattressesa down duvet and wonderful pillows.Guest access.you are the only guests in the treehouse""Other things to note.we dont allow petssmoking and partys. swimming pool available 15may-15 september""","['What this place offers', 'Bathroom', 'Cleaning products', 'Hot water', 'Bedroom and laundry', 'Dryer', 'Bed linen', 'Clothes storage', 'Entertainment', '32"" HDTV with standard cable/satellite', 'Ping pong table', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Bikes', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Rijen Noord-Brabant Netherlands,6,5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31.0,https://www.airbnb.co.uk/rooms/38786954?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2,
8,59705407-dc9b-444f-b0b0-afc472ca7c7f,Treehouses,rooftop cabin with private hot tub,"The Domaine proposes to make you live a unique experience in a beautiful place where a perched hut is set up to guarantee absolute privacy to really feel ""out of time"" to recharge your batteries cut off from civilization.A private outdoor uncovered Jacuzzi awaits youThe spaceThe space.Luxury and nature the hut perched 100% comfort : heatingtoiletshower.An outdoor Jacuzzi not covered for 3 people.A monkey bridgeeasy to reach by stairs is open to all without age limit and will please children.Perched 5 meters highclose to the pond which guarantees a unique charm.with a view of the pond.Breakfast not included but you can bring yours (nespresso available in the cabin).Office available microwavefridge and dishes on requestGuest access.entire accommodation.barbecue in the park on requestOther things to note.the site lends itself to weddings if necessary the cottage will not be available","['What this place offers', 'Scenic views', 'Lake view', 'Park view', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Baby safety gates', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Kitchen and dining', 'Coffee maker: espresso machine', 'Location features', 'Waterfront', 'Right next to a body of water', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor kitchen', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private hot tub', 'Services', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Maisse Île-de-France France,4,3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24.0,https://www.airbnb.co.uk/rooms/27255597?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
10,36dc1670-02ae-483b-9384-9261cc0f5abe,Treehouses,CABANE DES GIROLLES - IN THE TREES,Above allthis is a breathtaking setting that we invite you to discover during your stay at Les Hébergements de Quénecan. We invite you to escape to this natural and unique horizon in the heart of nature.In the heart of the immense forest of Quénécannear the water points or overlooking the former iron and steel village of Les Forgesenjoy the peace and quiet to take a moment to recharge your batteriesaway from everyday life.The spaceThe space.Located at a height of 10 meters in an oak of nearly 200 yearsthe Cabane des Girolles takes its name from the good girolles harvests that are made regularly for the happiness of all.It is equipped with:A bed in 90.A bed in 140 above.A toilet corner with water reservedry toiletwipes.A spacioussunny terrace overlooking the listed village of Les Forges des Salles. Ideal terrace for breakfast or summer evenings.Extra heating when the need arises.You can have sanitary showerstoilets arranged for you at the reception to enjoy several days of our site.It is ideal for a couple and a child.It is accessed by a long fully secured footbridge that will delight young and old alike.- We remind you that each of our accommodations has a small toilet area as well as a dry toilet - and a sun terrace. Breakfast is included - the evening meal can be delivered by reservation -,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,3,2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10.0,https://www.airbnb.co.uk/rooms/23274113?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-24&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
11,1e304e46-bf16-4ad4-9a94-844346a8c61e,Treehouses,RENARDIÈRE HUT - IN THE TREES,It is above all a breathtaking setting that we offer you to discover during your stay at Accommodations in Quénécan. We invite you to escape to this natural and unique landscape surrounded by nature.In the heart of the immense forest of Quénécannear the water points or overlooking the old steel village of Les Forgestake advantage of the peace and quiet to take a moment to recharge your batteriesaway from everyday life.The spaceThe space.In the foreston the edge of the private furnace pond (12 hectares)the Renardière cabin is built at a height of 5 meters while Douglas-fir and larchnaturally impenetrable wood. This cabin for 6 people is ideal for an exceptional moment with friends or family. Located in an oak tree and supported by 5 pillarsthis largevery spacious and clear cabin will seduce you with its originality.A spiral staircase will take you to the southwesterly facing terrace overlooking the furnace pond.The occupants of the cabin will be able to settle in for dinner at sunset. The cabin is composed of a living room with coffee table and benchesa bed in 140 retractable2 beds in 90 including a 90/140a mezzanine with a bed in 160a small toilet with dry toilets. This hut will please aspiring piratesindeedour builders have planned a drawbridge to maneuver to drop the moorings and start the adventure!Guest access.Access indicated during booking. Private parking at the foot of the cabin.Other things to note.On the estateenjoy the steel village of Les Forges des Salles (free visit). This former well-preserved steel industrial site brings you back to the daily life of a 19th century blacksmith!.AroundLake Guerlédanthe Abbey of Bon Reposthe Museum of Electricitythe Valley of Saints are all sites that open their doors to you,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,5,4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10.0,https://www.airbnb.co.uk/rooms/9624155?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-12&check_out=2022-06-19&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
